model,cv_best_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,best_params
RandomForest,0.9246351968016269,0.9069767441860465,0.873015873015873,0.5555555555555556,0.6790123456790124,0.9398221343873517,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 400}"
XGBoost,0.9334525987532223,0.8908765652951699,0.6696428571428571,0.7575757575757576,0.7109004739336493,0.9377031181379007,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'reg_lambda': 1.0, 'subsample': 0.8}"
SVM,0.9152375985807669,0.8640429338103757,0.5761589403973509,0.8787878787878788,0.696,0.936056214317084,"{'svc__C': 10, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}"
LogisticRegression,0.9118928819400185,0.8658318425760286,0.59375,0.7676767676767676,0.6696035242290749,0.9247255160298639,"{'logisticregression__C': 10, 'logisticregression__penalty': 'l2'}"
KNN,0.8957276287829595,0.9016100178890877,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.9037110232762406,"{'kneighborsclassifier__n_neighbors': 11, 'kneighborsclassifier__p': 1, 'kneighborsclassifier__weights': 'distance'}"
