model,accuracy,precision,recall,f1,roc_auc,precision_computed,precision_rounded
XGBoost,0.98568873,0.95049505,0.96969697,0.96,0.997694335,0.9504950492138026,0.950495
SVM,0.987477639,0.950980392,0.97979798,0.965174129,0.997364954,0.9509803912807093,0.95098
RandomForest,0.982110912,0.949494949,0.949494949,0.949494949,0.995674133,0.949494949,0.949495
LogisticRegression,0.978533095,0.906542056,0.97979798,0.941747573,0.994554238,0.9065420562436894,0.906542
KNN,0.97137746,0.936842105,0.898989899,0.917525773,0.984453228,0.9368421048437674,0.936842
